scenario,measure_id,measure_name,vaccine_name,location_id,location_name,sex_id,sex_name,year_id,mean,lower,upper
worse,18,Proportion,DTP3,6,China,3,Both,2024,0.919,0.891,0.943
reference,18,Proportion,DTP3,6,China,3,Both,2024,0.938,0.91,0.961
better,18,Proportion,DTP3,6,China,3,Both,2024,0.967,0.938,0.992
worse,18,Proportion,DTP3,6,China,3,Both,2025,0.903,0.875,0.927
reference,18,Proportion,DTP3,6,China,3,Both,2025,0.94,0.913,0.963
better,18,Proportion,DTP3,6,China,3,Both,2025,0.994,0.968,1
worse,18,Proportion,DTP3,6,China,3,Both,2026,0.886,0.859,0.91
reference,18,Proportion,DTP3,6,China,3,Both,2026,0.941,0.916,0.964
better,18,Proportion,DTP3,6,China,3,Both,2026,1,0.999,1
worse,18,Proportion,DTP3,6,China,3,Both,2027,0.871,0.843,0.895
reference,18,Proportion,DTP3,6,China,3,Both,2027,0.943,0.918,0.965
better,18,Proportion,DTP3,6,China,3,Both,2027,1,1,1
worse,18,Proportion,DTP3,6,China,3,Both,2028,0.855,0.827,0.879
reference,18,Proportion,DTP3,6,China,3,Both,2028,0.944,0.92,0.966
better,18,Proportion,DTP3,6,China,3,Both,2028,1,1,1
worse,18,Proportion,DTP3,6,China,3,Both,2029,0.84,0.812,0.864
reference,18,Proportion,DTP3,6,China,3,Both,2029,0.946,0.922,0.966
better,18,Proportion,DTP3,6,China,3,Both,2029,1,1,1
worse,18,Proportion,DTP3,6,China,3,Both,2030,0.825,0.797,0.849
reference,18,Proportion,DTP3,6,China,3,Both,2030,0.947,0.924,0.967
better,18,Proportion,DTP3,6,China,3,Both,2030,1,1,1
worse,18,Proportion,MCV2,6,China,3,Both,2024,0.943,0.907,0.965
reference,18,Proportion,MCV2,6,China,3,Both,2024,0.965,0.933,0.985
better,18,Proportion,MCV2,6,China,3,Both,2024,0.987,0.962,0.997
worse,18,Proportion,MCV2,6,China,3,Both,2025,0.922,0.887,0.947
reference,18,Proportion,MCV2,6,China,3,Both,2025,0.966,0.935,0.985
better,18,Proportion,MCV2,6,China,3,Both,2025,0.993,0.978,0.999
worse,18,Proportion,MCV2,6,China,3,Both,2026,0.902,0.863,0.93
reference,18,Proportion,MCV2,6,China,3,Both,2026,0.967,0.937,0.986
better,18,Proportion,MCV2,6,China,3,Both,2026,0.995,0.985,0.999
worse,18,Proportion,MCV2,6,China,3,Both,2027,0.883,0.84,0.914
reference,18,Proportion,MCV2,6,China,3,Both,2027,0.968,0.939,0.986
better,18,Proportion,MCV2,6,China,3,Both,2027,0.997,0.988,0.999
worse,18,Proportion,MCV2,6,China,3,Both,2028,0.864,0.819,0.898
reference,18,Proportion,MCV2,6,China,3,Both,2028,0.969,0.94,0.987
better,18,Proportion,MCV2,6,China,3,Both,2028,0.997,0.991,0.999
worse,18,Proportion,MCV2,6,China,3,Both,2029,0.845,0.798,0.882
reference,18,Proportion,MCV2,6,China,3,Both,2029,0.97,0.942,0.987
better,18,Proportion,MCV2,6,China,3,Both,2029,0.998,0.994,0.999
worse,18,Proportion,MCV2,6,China,3,Both,2030,0.827,0.775,0.866
reference,18,Proportion,MCV2,6,China,3,Both,2030,0.97,0.943,0.987
better,18,Proportion,MCV2,6,China,3,Both,2030,0.998,0.995,0.999
worse,18,Proportion,PCV3,6,China,3,Both,2024,0.286,0.254,0.321
reference,18,Proportion,PCV3,6,China,3,Both,2024,0.291,0.259,0.327
better,18,Proportion,PCV3,6,China,3,Both,2024,0.301,0.268,0.337
worse,18,Proportion,PCV3,6,China,3,Both,2025,0.293,0.26,0.33
